node_id,commodity_name,net_import_reliance,price_cagr_5yr,consumption_trend_5yr,supply_concentration,n_end_uses,world_production,is_critical_mineral,scrap_recycling_rate,domestic_value_rank,export_control_risk,trade_agreement_coverage
0,Abrasives (Manufactured),0.0,0.0,0.0,0.0,0.2,0.0,0,0.0,0.0,0.0,0.0
1,Alumina,0.71,0.0,0.015564202334630352,0.0,0.2,0.0,1,0.0,0.0,0.0,0.0
2,Aluminum,0.6,0.019230769230769232,-0.015564202334630352,0.4066000000000001,0.2,1.0,1,0.0,0.0,0.7,0.0
3,Antimony,0.91,0.9038461538461537,0.24124513618677043,0.3630000000000001,0.2,0.00025,1,0.0,0.0,0.7,0.0
4,Argon,0.0,0.0,0.03891050583657588,0.0,0.2,0.0,0,0.0,0.0,0.0,0.0
5,Arsenic,1.0,0.2692307692307693,0.050583657587548646,0.3262,0.2,0.00013863636363636365,1,0.0,0.0,0.0,0.0
6,Asbestos,1.0,0.0,-0.32684824902723736,0.0,0.2,0.0,1,0.0,0.0,0.0,0.0
7,Barite,0.75,0.11538461538461538,0.0,0.25680000000000003,0.2,0.01977272727272727,1,0.0,0.0,0.0,0.0
8,Bauxite,0.75,0.0,-0.15175097276264593,0.0,0.2,0.0,1,0.0,0.0,1.0,0.0
9,Beryllium,0.0,0.4615384615384615,0.066147859922179,0.23720000000000002,0.2,9.772727272727273e-07,1,0.0,0.0,0.0,0.0
10,Bismuth,0.92,1.0,-0.011673151750972763,0.38700000000000007,0.6,3.6363636363636364e-05,1,0.0,0.0,0.7,0.0
11,Boron,0.0,0.15384615384615385,0.0,0.8152000000000001,0.2,0.0,1,0.0,0.02,0.0,0.0
12,Bromine,0.25,0.0,0.0,0.0,0.2,0.0,1,0.0,0.02,0.0,0.0
13,Cadmium,0.25,0.0,0.0,0.0,0.2,0.0,1,0.0,0.0,0.0,0.0
14,Cement,0.21,0.0,-0.003891050583657588,0.0,0.2,0.0,1,0.0,0.66,0.0,0.0
15,Cerium,0.0,0.05769230769230769,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0
16,Cesium,1.0,0.0,0.0,1.0,0.2,0.0,1,0.0,0.0,0.0,0.0
17,Chromium,0.79,0.19230769230769232,-0.08560311284046693,0.3352,0.2,0.1159090909090909,1,0.0,0.0,0.0,0.0
18,Clays,0.0,0.0,0.01945525291828794,0.0,0.2,0.0,0,0.0,0.0,0.0,0.0
19,Cobalt,0.79,-0.19230769230769232,0.17120622568093385,0.22240000000000001,0.2,0.0007045454545454546,1,0.0,0.0,1.0,0.0
20,Copper,0.57,0.019230769230769232,0.04669260700389105,0.4974000000000001,0.2,0.05227272727272727,1,0.0,0.1,1.0,0.0
21,"Diamond (Bort, grit, and dust and powder; natural and synthetic)",0.0,0.0,0.0,0.0,0.2,0.0,0,0.0,0.0,1.0,0.0
22,Diamond (Industrial),0.35,0.0,0.0,0.0,0.2,0.0,1,0.0,0.0,1.0,0.0
23,"Diamond (Stones, natural and synthetic)",0.0,0.0,0.0,0.0,0.2,0.0,0,0.0,0.0,1.0,0.0
24,Diatomite,0.0,0.0,-0.10894941634241247,0.0,0.2,0.0,0,0.0,0.06,0.0,0.0
25,Dysprosium,0.0,-0.25,0.0,0.0,0.6,0.0,0,0.0,0.0,0.0,0.0
26,Erbium,0.0,0.11538461538461538,0.0,0.0,0.8,0.0,0,0.0,0.0,0.0,0.0
27,Europium,0.0,-0.05769230769230769,0.0,0.0,0.2,0.0,0,0.0,0.0,0.0,0.0
28,Feldspar,0.0,0.0,-0.031128404669260704,0.0,0.2,0.0,0,0.0,0.0,0.0,0.0
29,Feldspar And Nepheline Syenite,0.0,0.0,0.0,0.0,0.2,0.0,0,0.0,0.0,0.0,0.0
30,Fluorspar,1.0,0.5384615384615385,-0.058365758754863814,0.44460000000000005,0.6,0.022727272727272728,1,0.0,0.0,0.0,0.0
31,Gadolinium,0.0,-0.21153846153846154,0.0,0.0,0.6,0.0,0,0.0,0.0,0.0,0.0
32,Gallium,1.0,0.38461538461538464,0.042801556420233464,0.21040000000000003,0.2,2.0454545454545453e-06,1,0.0,0.0,0.7,0.0
33,Garnet (Industrial),0.71,0.0,0.12062256809338522,0.0,0.2,0.0,1,0.0,0.0,0.0,0.0
34,Gemstones,0.99,0.0,-0.23735408560311286,0.0,0.2,0.0,1,0.0,0.0,0.0,0.0
35,Germanium,0.5,0.6923076923076923,0.0,0.27199999999999996,0.6,0.0,1,0.0,0.0,0.7,0.0
36,Gold,0.0,0.0,-0.16731517509727628,0.0,0.2,0.0,0,0.0,0.14,1.0,0.0
37,Granite Only,0.0,0.0,0.0,0.0,0.2,0.0,0,0.0,0.0,0.0,0.0
