Mineral_Commodity,Pch_Consumption_2021_2025,CM_List_2025
Asbestos,-84,N
Gemstones,-61,N
Yttrium,-57,Y
Gold,-43,N
Bauxite,-39,N
Mica (scrap and flake),-36,N
Diatomite,-28,N
Chromium,-22,Y
Kyanite,-21,N
Iodine,-19,N
Abrasives (silicon carbide),-19,N
Pumice and pumicite,-17,N
Magnesium metal,-17,Y
Fluorspar,-15,Y
Potash,-14,Y
Sulfur,-14,N
Phosphate rock,-14,Y
Peat,-14,N
Nickel,-13,Y
Manganese,-11,Y
Tin,-10,Y
Salt,-10,N
Titanium mineral concentrates,-10,Y
Zinc,-10,Y
Lime,-10,N
Abrasives (metalic),-10,N
Aluminum,-9,Y
Lead,-9,Y
Feldspar,-8,N
"Diamond (bort, grit, dust, and powder)",-8,N
Sand and gravel (construction),-8,N
Stone (dimension),-7,N
Perlite,-6,N
Iron and steel,-5,N
Abrasives (aluminum oxide),-4,N
Stone (crushed),-4,N
Bismuth,-3,Y
Iron and steel scrap,-2,N
Iron oxide pigments,-1,N
Cement,-1,N
Titanium dioxide,-1,Y
Magnesium compounds,0,Y
Iron ore,0,N
Helium,0,N
Iron and steel slag,0,N
Talc and pyrophyllite,0,N
Gypsum,2,N
Molybdenum,3,N
Nitrogen (fixed)—ammonia,3,N
Soda ash,3,N
Alumina,4,N
Zeolites (natural),4,N
Clays,5,N
Diamond (stones),5,N
Xenon,5,N
Vermiculite,8,N
Argon,10,N
Krypton,11,N
Gallium,11,Y
Copper,12,Y
Arsenic,13,Y
Beryllium,17,Y
Silver,18,Y
Rhenium,22,Y
Mica (sheet),25,N
Neon,28,N
Garnet (industrial),31,N
Tantalum,34,Y
Niobium (columbium),37,Y
Sand and gravel (industrial),39,N
Indium,39,Y
Cobalt,44,Y
Vanadium,59,Y
Palladium,60,Y
Graphite (natural),60,Y
Antimony,62,Y
Platinum,80,Y
Strontium,134,N
Titanium sponge metal,177,Y
Rare earths,242,Y
Thallium,257,N
