material1,material2,relationship_type,confidence,page_reference
Aluminum,Beryllium,alloy_components,high,57
Aluminum,Bismuth,alloy_components,high,58
Aluminum,Boron,alloy_components,high,57
Aluminum,Chromium,alloy_components,high,58
Aluminum,Cobalt,alloy_components,high,57
Aluminum,Copper,alloy_components,high,57
Aluminum,Gold,alloy_components,high,126
Aluminum,Graphite,alloy_components,high,57
Aluminum,Iron,alloy_components,high,58
Aluminum,Kaolin,alloy_components,high,201
Aluminum,Lead,alloy_components,high,58
Aluminum,Magnesium,alloy_components,high,126
Aluminum,Manganese,alloy_components,high,43
Aluminum,Molybdenum,alloy_components,high,58
Aluminum,Neodymium,alloy_components,high,57
Aluminum,Nickel,alloy_components,high,57
Aluminum,Niobium,alloy_components,high,191
Aluminum,Platinum,alloy_components,high,191
Aluminum,Rare Earths,alloy_components,high,44
Aluminum,Salt,alloy_components,high,126
Aluminum,Silicon,alloy_components,high,57
Aluminum,Silver,alloy_components,high,126
Aluminum,Steel,alloy_components,high,57
Aluminum,Tantalum,alloy_components,high,57
Aluminum,Tin,alloy_components,high,57
Aluminum,Titanium,alloy_components,high,57
Aluminum,Tungsten,alloy_components,high,44
Aluminum,Zinc,alloy_components,high,43
Aluminum,Zirconium,alloy_components,high,191
Antimony,Lead,alloy_components,high,113
Antimony,Tin,alloy_components,medium,181
Beryllium,Boron,alloy_components,high,57
Beryllium,Cobalt,alloy_components,high,57
Beryllium,Copper,alloy_components,high,57
Beryllium,Graphite,alloy_components,high,57
Beryllium,Neodymium,alloy_components,high,57
Beryllium,Nickel,alloy_components,high,57
Beryllium,Silicon,alloy_components,high,57
Beryllium,Steel,alloy_components,high,57
Beryllium,Tantalum,alloy_components,high,57
Beryllium,Tin,alloy_components,high,57
Beryllium,Titanium,alloy_components,high,57
Bismuth,Cerium,alloy_components,high,173
Bismuth,Chromium,alloy_components,high,58
Bismuth,Cobalt,alloy_components,high,58
Bismuth,Iron,alloy_components,high,58
Bismuth,Lead,alloy_components,high,58
Bismuth,Molybdenum,alloy_components,high,58
Bismuth,Neodymium,alloy_components,high,58
Bismuth,Nickel,alloy_components,high,58
Bismuth,Rare Earths,alloy_components,high,58
Bismuth,Tantalum,alloy_components,high,58
Bismuth,Tellurium,alloy_components,high,173
Bismuth,Titanium,alloy_components,high,58
Bismuth,Tungsten,alloy_components,high,58
Boron,Cadmium,alloy_components,high,219
Boron,Chromium,alloy_components,high,29
Boron,Cobalt,alloy_components,high,29
Boron,Copper,alloy_components,high,29
Boron,Dysprosium,alloy_components,high,29
Boron,Gold,alloy_components,high,29
Boron,Hafnium,alloy_components,high,219
Boron,Indium,alloy_components,high,219
Boron,Iron,alloy_components,high,29
Boron,Molybdenum,alloy_components,high,135
Boron,Neodymium,alloy_components,high,29
Boron,Nickel,alloy_components,high,57
Boron,Niobium,alloy_components,high,135
Boron,Praseodymium,alloy_components,high,29
Boron,Rare Earths,alloy_components,high,29
Boron,Silicon,alloy_components,high,57
Boron,Silver,alloy_components,high,29
Boron,Steel,alloy_components,high,219
Boron,Tantalum,alloy_components,high,29
Boron,Terbium,alloy_components,high,29
Boron,Tin,alloy_components,high,57
Boron,Titanium,alloy_components,high,29
Boron,Tungsten,alloy_components,high,29
Boron,Vanadium,alloy_components,high,135
Boron,Zirconium,alloy_components,high,219
Cadmium,Cobalt,alloy_components,high,219
Cadmium,Hafnium,alloy_components,high,219
Cadmium,Indium,alloy_components,high,219
Cadmium,Neodymium,alloy_components,high,219
Cadmium,Nickel,alloy_components,high,219
Cadmium,Niobium,alloy_components,high,219
Cadmium,Silver,alloy_components,high,219
Cadmium,Steel,alloy_components,high,219
Cadmium,Tantalum,alloy_components,high,219
Cadmium,Titanium,alloy_components,high,219
Cadmium,Tungsten,alloy_components,high,219
Cadmium,Zirconium,alloy_components,high,219
Cerium,Cobalt,alloy_components,high,173
Cerium,Lanthanum,alloy_components,high,197
Cerium,Lead,alloy_components,high,173
Cerium,Magnesium,alloy_components,high,197
Cerium,Neodymium,alloy_components,high,173
Cerium,Nickel,alloy_components,high,197
Cerium,Rare Earths,alloy_components,high,173
Cerium,Silver,alloy_components,high,197
Cerium,Tantalum,alloy_components,high,197
Cerium,Tellurium,alloy_components,high,173
Cerium,Thorium,alloy_components,high,197
Cerium,Titanium,alloy_components,high,197
Cerium,Tungsten,alloy_components,high,197
Cerium,Yttrium,alloy_components,high,197
Cerium,Zirconium,alloy_components,high,197
Cesium,Chromium,alloy_components,high,27
Cesium,Neodymium,alloy_components,high,27
Cesium,Nickel,alloy_components,high,27
Cesium,Steel,alloy_components,high,27
Cesium,Tantalum,alloy_components,high,27
Cesium,Titanium,alloy_components,high,27
Chromite,Chromium,alloy_components,high,70
Chromite,Cobalt,alloy_components,high,70
Chromite,Neodymium,alloy_components,high,70
Chromite,Nickel,alloy_components,high,70
Chromite,Steel,alloy_components,high,70
Chromite,Tantalum,alloy_components,high,70
Chromite,Titanium,alloy_components,high,70
Chromite,Tungsten,alloy_components,high,70
Chromium,Cobalt,alloy_components,high,27
Chromium,Copper,alloy_components,high,29
Chromium,Dysprosium,alloy_components,high,29
Chromium,Gold,alloy_components,high,126
Chromium,Hafnium,alloy_components,high,218
Chromium,Iron,alloy_components,high,29
Chromium,Lead,alloy_components,high,58
Chromium,Magnesium,alloy_components,high,126
Chromium,Manganese,alloy_components,high,137
Chromium,Molybdenum,alloy_components,high,58
Chromium,Neodymium,alloy_components,high,27
Chromium,Nickel,alloy_components,high,27
Chromium,Niobium,alloy_components,high,135
Chromium,Rare Earths,alloy_components,high,58
Chromium,Rhenium,alloy_components,high,160
Chromium,Salt,alloy_components,high,126
Chromium,Silver,alloy_components,high,29
Chromium,Steel,alloy_components,high,27
Chromium,Tantalum,alloy_components,high,27
Chromium,Titanium,alloy_components,high,27
Chromium,Tungsten,alloy_components,high,29
Chromium,Vanadium,alloy_components,high,135
Chromium,Zirconium,alloy_components,high,27
Cobalt,Copper,alloy_components,high,29
Cobalt,Dysprosium,alloy_components,high,27
Cobalt,Gold,alloy_components,high,126
Cobalt,Graphite,alloy_components,high,27
Cobalt,Hafnium,alloy_components,high,27
Cobalt,Indium,alloy_components,high,103
Cobalt,Iridium,alloy_components,high,191
Cobalt,Iron,alloy_components,high,27
Cobalt,Kaolin,alloy_components,high,201
Cobalt,Lanthanum,alloy_components,high,197
Cobalt,Lead,alloy_components,high,58
Cobalt,Magnesium,alloy_components,high,126
Cobalt,Manganese,alloy_components,high,137
Cobalt,Molybdenum,alloy_components,high,58
Cobalt,Neodymium,alloy_components,high,27
Cobalt,Nickel,alloy_components,high,27
Cobalt,Niobium,alloy_components,high,27
Cobalt,Platinum,alloy_components,high,160
Cobalt,Praseodymium,alloy_components,high,29
Cobalt,Rare Earths,alloy_components,high,29
Cobalt,Rhenium,alloy_components,high,160
Cobalt,Salt,alloy_components,high,126
Cobalt,Samarium,alloy_components,high,151
Cobalt,Silicon,alloy_components,high,57
Cobalt,Silver,alloy_components,high,27
Cobalt,Steel,alloy_components,high,27
Cobalt,Tantalum,alloy_components,high,27
Cobalt,Tellurium,alloy_components,high,173
Cobalt,Terbium,alloy_components,high,29
Cobalt,Thorium,alloy_components,high,197
Cobalt,Tin,alloy_components,high,57
Cobalt,Titanium,alloy_components,high,27
Cobalt,Tungsten,alloy_components,high,29
Cobalt,Vanadium,alloy_components,high,135
Cobalt,Yttrium,alloy_components,high,197
Cobalt,Zinc,alloy_components,high,27
Cobalt,Zirconium,alloy_components,high,27
Copper,Dysprosium,alloy_components,high,29
Copper,Gold,alloy_components,high,160
Copper,Graphite,alloy_components,high,57
Copper,Iron,alloy_components,high,29
Copper,Lead,alloy_components,high,73
